result_id,race_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,fastest_lap_time,status_id,rank
1,1061,830,9,33,2,1.0,1,1,3,17,1538.426,1538426.0,14.0,90.013,1.0,
2,1061,1,131,44,1,2.0,2,2,2,17,1.43,1539856.0,17.0,89.937,1.0,
3,1061,822,131,77,3,3.0,3,3,1,17,7.502,1545928.0,17.0,89.958,1.0,
4,1061,844,6,16,4,4.0,4,4,0,17,11.278,1549704.0,16.0,90.163,1.0,
5,1061,846,1,4,6,5.0,5,5,0,17,24.111,1562537.0,16.0,90.566,1.0,
6,1061,817,1,3,7,6.0,6,6,0,17,30.959,1569385.0,17.0,90.64,1.0,
7,1061,4,214,14,11,7.0,7,7,0,17,43.527,1581953.0,17.0,91.773,1.0,
8,1061,20,117,5,10,8.0,8,8,0,17,44.439,1582865.0,17.0,91.687,1.0,
9,1061,847,3,63,8,9.0,9,9,0,17,46.652,1585078.0,17.0,92.208,1.0,
10,1061,839,214,31,13,10.0,10,10,0,17,47.395,1585821.0,16.0,92.18299999999999,1.0,
11,1061,832,6,55,9,11.0,11,11,0,17,47.798,1586224.0,10.0,91.991,1.0,
12,1061,842,213,10,12,12.0,12,12,0,17,48.763,1587189.0,17.0,92.072,1.0,
13,1061,8,51,7,17,13.0,13,13,0,17,50.677,1589103.0,12.0,92.13900000000001,1.0,
14,1061,840,117,18,15,14.0,14,14,0,17,52.179,1590605.0,12.0,92.21000000000001,1.0,
15,1061,841,51,99,14,15.0,15,15,0,17,53.225,1591651.0,14.0,92.457,1.0,
16,1061,852,213,22,16,16.0,16,16,0,17,53.567,1591993.0,14.0,92.27000000000001,1.0,
17,1061,849,3,6,18,17.0,17,17,0,17,55.162,1593588.0,17.0,92.143,1.0,
18,1061,854,210,47,19,18.0,18,18,0,17,68.213,1606639.0,15.0,92.56700000000001,1.0,
19,1061,853,210,9,20,19.0,19,19,0,17,77.648,1616074.0,3.0,93.462,1.0,
20,1061,815,9,11,5,,R,20,0,16,,,6.0,91.465,76.0,
21,1065,822,131,77,1,1.0,1,1,3,18,1674.078,1674078.0,9.0,83.53999999999999,1.0,
22,1065,830,9,33,3,2.0,2,2,2,18,2.325,1676403.0,9.0,83.502,1.0,
23,1065,817,1,3,5,3.0,3,3,1,18,14.534,1688612.0,17.0,84.291,1.0,
24,1065,846,1,4,4,4.0,4,4,0,18,18.835,1692913.0,9.0,84.554,1.0,
25,1065,1,131,44,2,5.0,5,5,0,18,20.011,1694089.0,9.0,84.253,1.0,
26,1065,844,6,16,8,6.0,6,6,0,18,23.442,1697520.0,18.0,84.67699999999999,1.0,
27,1065,832,6,55,7,7.0,7,7,0,18,27.952,1702030.0,8.0,84.918,1.0,
28,1065,841,51,99,10,8.0,8,8,0,18,31.089,1705167.0,10.0,85.126,1.0,
29,1065,815,9,11,9,9.0,9,9,0,18,31.68,1705758.0,12.0,84.211,1.0,
30,1065,840,117,18,12,10.0,10,10,0,18,38.671,1712749.0,8.0,85.349,1.0,
31,1065,4,214,14,13,11.0,11,11,0,18,39.795,1713873.0,8.0,85.225,1.0,
32,1065,20,117,5,11,12.0,12,12,0,18,41.177,1715255.0,8.0,85.493,1.0,
33,1065,839,214,31,14,13.0,13,13,0,18,43.373,1717451.0,8.0,85.613,1.0,
34,1065,849,3,6,16,14.0,14,14,0,18,45.977,1720055.0,9.0,85.711,1.0,
35,1065,847,3,63,15,15.0,15,15,0,18,46.821,1720899.0,15.0,85.83500000000001,1.0,
36,1065,852,213,22,17,16.0,16,16,0,18,49.977,1724055.0,18.0,85.84700000000001,1.0,
37,1065,853,210,9,20,17.0,17,17,0,18,62.599000000000004,1736677.0,7.0,86.613,1.0,
38,1065,9,51,88,19,18.0,18,18,0,18,65.096,1739174.0,12.0,86.77199999999999,1.0,
39,1065,854,210,47,18,19.0,19,19,0,18,66.154,1740232.0,7.0,86.819,1.0,
40,1065,842,213,10,6,,R,20,0,0,,,,,3.0,
41,1071,822,131,77,2,1.0,1,1,3,24,1749.559,1749559.0,8.0,72.3,1.0,
42,1071,830,9,33,1,2.0,2,2,2,24,1.17,1750729.0,9.0,72.114,1.0,
43,1071,832,6,55,5,3.0,3,3,1,24,18.723,1768282.0,13.0,73.167,1.0,
44,1071,815,9,11,3,4.0,4,4,0,24,19.787,1769346.0,13.0,73.11,1.0,
